,Region,HH_numbers,Marital_status,Age,Children,Female,Drafted,Education,Wellbeing,Employed,Sector,Employment_status,Weekly_working_hours,Occupation,Wage,Second_job,Additional_training_need,Useful_education,Foreign_language_besides_Rus,Foreign_language1,Foreign_language2,Foreign_language1_level,Foreign_language2_level,IT_skills,Read_instructions,Read_letters,Read_articles,Read_journals,Read_manuals,Read_invoices,Read_diagrams,Write_letters,Write_articles,Write_reports,Fill_in_forms,Work_with_prices,Work_with_fractions_percentages,Work_with_graphs,Work_with_formulas,Work_with_statistics,Work_with_computer,Comp_tools_email,Comp_tools_Inet,Comp_tools_Transactions,Comp_tools_Excel,Comp_tools_Word,Comp_tools_Programming,Comp_tools_teleconferences,Comp_tools_other,Required_Comp_skills_level,Have_comp_skills_for_work,Comp_skills_effect_on_employment,Language_skills_on_employment,Russian,English,French,Nothing,Facebook_user,FB_friends,Actual_friends_from_fb,LinkedIn_user,LinkedIn_followers,Actual_followers_from_LinkedIn,Professional_match,Required_education_for_the_job,Have_skills_for_more_demanding_job
14,Երևան,4,Ամուսնացած,32,0,0,1,Միջին մասնագիտական,Լավ,1,O,Վարձու աշխատող,32,5,112000,Այո,Այո,Բոլորովին օգտակար չէ,1,Անգլերեն,,Շատ սահմանափակ իմացություն,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)",Երբեք,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Հրաժարվում եմ պատասխանել,Ոչ,Ոչ,1,1,0,0,1,,1,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
16,Երևան,3,Ամուսնացած,28,0,1,,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,0,,,,,,,Ոչ,Ինչ-որ չափով օգտակար,1,Անգլերեն,Պարսկերեն,Գերազանց իմացություն,Միջին իմացություն,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Այո,1,1,1,1,1,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,1,300,50,0,,,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
17,Երևան,5,Չամուսնացած,26,0,0,1,Միջնակարգ/Ավագ դպրոց,Լավ,1,D,Վարձու աշխատող,40,9,92000,Ոչ,Ոչ,Սահմանափակ օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամեն օր,Ամեն օր,Երբեք,Երբեք,Ամեն օր,Երբեք,Ամեն օր,Երբեք,Երբեք,Ամեն օր,Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Այո,Ոչ,Ոչ,1,0,0,0,1,50,20,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
18,Երևան,5,Ամուսնացած,40,0,0,0,Միջնակարգ/Ավագ դպրոց,Բավարար,1,I,Վարձու աշխատող,40,2,150000,Ոչ,Ոչ,"Ոչ օգտակար, ոչ էլ անօգուտ",1,Անգլերեն,,Շատ սահմանափակ իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Այո,1,1,1,0,0,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,1,1000,200,0,,,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Ոչ
20,Երևան,3,Ամուսնացած,30,0,1,,Բակալավր,Բավարար,0,,,,,,,Ոչ,Բոլորովին օգտակար չէ,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,1,1,1,1,0,0,Միջին,Այո,Ոչ,Ոչ,0,0,0,1,1,320,4,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
21,Երևան,3,Ամուսնացած,29,0,1,,Բակալավր,Բավարար,0,,,,,,,,Ինչ-որ չափով օգտակար,1,Հոլանդերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Այո,1,1,1,0,1,0,0,0,Բարձր,Ոչ,Այո,Այո,0,0,0,0,1,90,30,0,,,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Ոչ
23,Երևան,7,Այլ ,28,2,0,1,Միջնակարգ/Ավագ դպրոց,Բավարար,1,G,Վարձու աշխատող,65,5,100000,Ոչ,Ոչ,Բոլորովին օգտակար չէ,0,,,,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Ոչ,Ոչ,Ոչ,0,0,0,1,1,150,200,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Ոչ
24,Երևան,5,Չամուսնացած,42,2,1,,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,1,O,Վարձու աշխատող,40,1,550000,Ոչ,Ոչ,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Ամիսը մեկ անգամից քիչ,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Այո,1,1,1,1,1,0,0,1,Բարձր,Այո,Ոչ,Ոչ,1,1,0,0,1,200,50,0,,,,,
27,Շիրակ,6,Ամուսնացած,35,0,0,1,Միջին մասնագիտական,Բավարար,1,J,Վարձու աշխատող,48,0,350000,Այո,Այո,Շատ օգտակար,1,Անգլերեն,Գերմաներեն,Միջին իմացություն,Միջին իմացություն,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Ամեն օր,Ամեն օր,Ամեն օր,Ամիսը մեկ անգամից քիչ,Ամեն օր,Ամեն օր,Ամիսը մեկ անգամից քիչ,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Բարձր,Ոչ,Ոչ,Այո,1,0,0,0,1,160,4,0,,,Այո,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
28,Երևան,1,Չամուսնացած,34,0,0,1,Բակալավր,Բավարար,1,F,Վարձու աշխատող,48,1,300000,Ոչ,Այո,Շատ օգտակար,0,,,,,Մասնագիտացված իմացություն (ծրագրավորում),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Այո,1,1,1,1,0,1,0,1,Բարձր,Այո,Այո,Այո,1,1,0,0,1,235,15,1,20,3,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Ոչ
29,Արարատ,4,Ամուսնացած,34,0,0,1,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,1,O,Վարձու աշխատող,72,5,80000,Ոչ,Այո,Ինչ-որ չափով օգտակար,0,,,,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Ամիսը մեկ անգամից քիչ,Ամեն օր,Ամեն օր,Ամիսը մեկ անգամից քիչ,Ամիսը մեկ անգամից քիչ,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամիսը մեկ անգամից քիչ,Երբեք,Ամեն օր,Ամեն օր,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Այո,1,1,0,1,0,0,0,0,Միջին,Այո,Ոչ,Այո,1,0,0,0,0,,,0,,,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
30,Երևան,6,Չամուսնացած,22,3,0,1,Միջին մասնագիտական,Լավ,1,F,Վարձու աշխատող,60,,241000,Ոչ,Ոչ,Բոլորովին օգտակար չէ,0,,,,,Մասնագիտացված իմացություն (ծրագրավորում),Ամեն օր,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Ոչ,Ոչ,Ոչ,1,0,0,0,1,3,0,0,,,Ոչ,Միջին մասնագիտական կրթություն չի պահանջվում,Այո
31,Երևան,3,Ամուսնացած,39,0,0,1,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,1,,Ինքնազբաղված աշխատող գյուղատնտեսությունում,48,,150000,Այո,Ոչ,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Մասնագիտացված իմացություն (ծրագրավորում),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Հրաժարվում եմ պատասխանել,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,0,,,0,,,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
32,Երևան,4,Ամուսնացած,30,1,0,1,Բակալավր,Շատ լավ,1,J,Գործատու (սեփականատեր՝ վարձու աշխատող(ներ)ի մշտական ներգրավմամբ),154,2,250000,Ոչ,Ոչ,Շատ օգտակար,0,,,,,Մասնագիտացված իմացություն (ծրագրավորում),Երբեք,Ամեն օր,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամեն օր,Ամեն օր,Երբեք,Երբեք,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Ամեն օր,Ամեն օր,Ամիսը մեկ անգամից քիչ,Այո,1,1,1,1,1,1,0,0,Բարձր,Այո,Ոչ,Ոչ,1,1,0,0,1,150,6,1,4,0,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
33,Շիրակ,4,Ամուսնացած,31,0,0,1,Միջնակարգ/Ավագ դպրոց,Բավարար,1,F,Ինքնազբաղված աշխատող գյուղատնտեսությունում,56,9,120000,Ոչ,Այո,Ինչ-որ չափով օգտակար,0,,,,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Այո,Ոչ,Ոչ,1,0,0,0,1,60,5,0,,,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
34,Շիրակ,3,Չամուսնացած,30,0,0,0,Բակալավր,Վատ,0,,,,,,,,Ինչ-որ չափով օգտակար,0,,,,,Մասնագիտացված իմացություն (ծրագրավորում),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Այո,Ոչ,Ոչ,1,0,0,0,1,200,15,0,,,Ոչ,Միջին մասնագիտական կրթություն չի պահանջվում,Այո
